X,Y,Index_,ACCNUM,YEAR,DATE,TIME,Hour,STREET1,STREET2,OFFSET,ROAD_CLASS,District,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,Division,Ward_Name,Ward_ID,Hood_ID,Hood_Name,ObjectId
-79.561664,43.645896,80489774,5001661734,2015,2015-09-26T04:00:00.000Z,1,0,BURNHAMTHORPE RD,427 C N BURNHAMTHORPE RAMP, ,Expressway,Etobicoke York,43.645896,-79.561664,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Fatal,Turning Movement,Driver,30 to 34,Fatal,47,East,"Automobile, Station Wagon",Going Ahead,Disobeyed Traffic Control,"Ability Impaired, Alcohol", , , , , , , , ,Yes, , , , , ,Yes,Yes,Yes,Yes, ,22,,,14,,1
-79.561664,43.645896,80489775,5001661734,2015,2015-09-26T04:00:00.000Z,1,0,BURNHAMTHORPE RD,427 C N BURNHAMTHORPE RAMP, ,Expressway,Etobicoke York,43.645896,-79.561664,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Fatal,Turning Movement,Driver,20 to 24,Major,0,North,"Automobile, Station Wagon",Turning Left,Driving Properly,Normal, , , , , , , , ,Yes, , , , , ,Yes,Yes,Yes,Yes, ,22,,,14,,2
-79.33899,43.658345,5345498,1031943,2008,2008-03-13T04:00:00.000Z,10,0,CARLAW AVE,EASTERN AVE, ,Major Arterial,Toronto and East York,43.658345,-79.33899,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Angle,Vehicle Owner,unknown, ,0, ,Other, , , , , , , , , , , ,Yes, , , , ,Yes,Yes,Yes,Yes, , ,55,,,70,,3
-79.33899,43.658345,5345499,1031943,2008,2008-03-13T04:00:00.000Z,10,0,CARLAW AVE,EASTERN AVE, ,Major Arterial,Toronto and East York,43.658345,-79.33899,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Angle,Driver,35 to 39,Major,0,West,"Automobile, Station Wagon",Going Ahead,Disobeyed Traffic Control,Normal, , , , , , , , ,Yes, , , , ,Yes,Yes,Yes,Yes, , ,55,,,70,,4
-79.33899,43.658345,5345500,1031943,2008,2008-03-13T04:00:00.000Z,10,0,CARLAW AVE,EASTERN AVE, ,Major Arterial,Toronto and East York,43.658345,-79.33899,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Angle,Passenger,unknown,Minimal,0, ,Other, , , , , , , , , , , ,Yes, , , , ,Yes,Yes,Yes,Yes, , ,55,,,70,,5
-79.33899,43.658345,5345501,1031943,2008,2008-03-13T04:00:00.000Z,10,0,CARLAW AVE,EASTERN AVE, ,Major Arterial,Toronto and East York,43.658345,-79.33899,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Angle,Driver,40 to 44,Minimal,0,North,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal, , , , , , , , ,Yes, , , , ,Yes,Yes,Yes,Yes, , ,55,,,70,,6
-79.33899,43.658345,5345502,1031943,2008,2008-03-13T04:00:00.000Z,10,0,CARLAW AVE,EASTERN AVE, ,Major Arterial,Toronto and East York,43.658345,-79.33899,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Angle,Other Property Owner,unknown, ,0, ,Other, , , , , , , , , , , ,Yes, , , , ,Yes,Yes,Yes,Yes, , ,55,,,70,,7
-79.215801,43.761779,80783074,7000557720,2017,2017-03-30T04:00:00.000Z,15,0,SCARBOROUGH GOLF CLUB RD,LAWRENCE AVE E, ,Major Arterial,Scarborough,43.761779,-79.215801,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Driver,15 to 19,Major,0,North,"Automobile, Station Wagon",Going Ahead,Disobeyed Traffic Control,Unknown, , , , , , , , ,Yes, , , , ,Yes,Yes,Yes,Yes, , ,43,,,137,,8
-79.215801,43.761779,80783179,7000557720,2017,2017-03-30T04:00:00.000Z,15,0,SCARBOROUGH GOLF CLUB RD,LAWRENCE AVE E, ,Major Arterial,Scarborough,43.761779,-79.215801,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Driver,55 to 59,Minor,0,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal, , , , , , , , ,Yes, , , , ,Yes,Yes,Yes,Yes, , ,43,,,137,,9
-79.215801,43.761779,80783180,7000557720,2017,2017-03-30T04:00:00.000Z,15,0,SCARBOROUGH GOLF CLUB RD,LAWRENCE AVE E, ,Major Arterial,Scarborough,43.761779,-79.215801,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Passenger,70 to 74,None,0, , , , , , , , , , , , , ,Yes, , , , ,Yes,Yes,Yes,Yes, , ,43,,,137,,10
